id	name	description	level
0001327	Photomyoclonic seizures	NA	7
0001340	Enhancement of the C-reflex	Increase in amplitude of a long-loop response upon somatosensory evoked potential testing, representing an electrically evoked myoclonic response.	7
0001341	Olfactory lobe agenesis	NA	8
0001343	Kernicterus	Damage to cerebral nuclei caused in infants by highly increased levels of unconjugated bilirubin. The basal ganglia and brainstem nuclei could be shown to have a yellow staining historically in infants who died of kernicterus, that is, kernicterus is strictly speaking a pathological diagnosis. The presence of kernicterus may be inferred in infants with characteristic acute or chronic bilirubin-induced neurological dysfunction.	6
0001345	Psychotic mentation	NA	6
0001351	Jerk-locked premyoclonus spikes	Jerk-locked averaging (JLA) is used to record the timing and distribution of brain activity preceding brisk involuntary movements such as those observed in patients with myoclonus. JLA is capable of revealing a premyoclonus spike in the absence of paroxysmal activity in the routine EEG.	6
0001361	Nystagmus-induced head nodding	Head movements associated with nystagmus, that may represent an attempt to compensate for the involuntary eye movements and to improve vision.	7
0001384	Abnormality of the hip joint	An abnormality of the hip joint.	7
0001401	Intrahepatic biliary dysgenesis	NA	9
0001403	Macrovesicular hepatic steatosis	A form of hepatic steatosis characterized by the presence of large, lipid-laden vesicles in the affected hepatocytes.	9
0001404	Hepatocellular necrosis	NA	7
0001405	Periportal fibrosis	The presence of fibrosis affecting the interlobular stroma of liver.	7
0001412	Enteroviral hepatitis	Inflammation of the liver due to infection with enterovirus.	8
0001430	Abnormality of the calf musculature	NA	6
0001435	Abnormality of the shoulder girdle musculature	NA	6
0001436	Abnormality of the foot musculature	An anomaly of the musculature of foot.	6
0001437	Abnormality of the musculature of the lower limbs	NA	5
0001440	Metatarsal synostosis	NA	9
0001442	Somatic mosaicism	The presence of genetically distinct populations of somatic cells in a given organism caused by DNA mutations, epigenetic alterations of DNA, chromosomal abnormalities or the spontaneous reversion of inherited mutations.	3
0001444	Autosomal dominant somatic cell mutation	Being related to a de novo variant that occurs in a single cell in developing somatic tissue. The cell is the progenitor of a population of identical mutant cells, all of which have descended from the cell that mutated. Clinical manifestations depend on the identity and proportion of affected cells in the body.	3
0001449	Duplication of metatarsal bones	NA	8
0001450	Y-linked inheritance	A mode of inheritance that is observed for traits related to a gene encoded on the Y chromosome.	3
0001452	Autosomal dominant contiguous gene syndrome	NA	3
0001459	1-3 toe syndactyly	Syndactyly with fusion of toes one to three.	9
0001460	Aplasia/Hypoplasia involving the skeletal musculature	Absence or underdevelopment of the musculature.	5
0001464	Aplasia/Hypoplasia involving the shoulder musculature	Absence or underdevelopment of the muscles of the shoulder.	8
0001470	Sex-limited autosomal dominant	NA	3
0001473	Metatarsal osteolysis	Osteolysis involving metatarsal bones.	9
0001474	Sclerotic scapulae	Increased density of the bony tissue of the scapula.	8
0001475	Male-limited autosomal dominant	NA	4
0001477	Compensatory chin elevation	A tendency to hold the chin elevated by about 20 to 30 degrees to compensate for a limitation of eye movement.	6
0001483	Eye poking	Repetitive pressing, poking, and/or rubbing in the eyes.	7
0001489	Posterior vitreous detachment	Separation of the vitreous humor from the retina.	6
0001491	Congenital fibrosis of extraocular muscles	Congenital non-progressive ophthalmoplegia with multiple extraocular muscle restrictions. Typically, there is ptosis and variable degrees of restriction of horizontal and vertical eye movements.	9
0001492	Axenfeld anomaly	Axenfeld's anomaly is a bilateral disorder characterized by a prominent, anteriorly displaced Schwalbe's line (posterior embryotoxon) and peripheral iris strands which span the anterior chamber angle to attach to Schwalbe's line.	6
0001493	Falciform retinal fold	An area of the retina that is buckled so that a sector-shaped sheet of retina lies in front of the normal retina. This feature is of congenital onset.	8
0001495	Carpal osteolysis	Osteolysis affecting carpal bones.	8
0001500	Broad finger	Increased width of a non-thumb digit of the hand.	8
0001501	6 metacarpals	NA	9
0001504	Metacarpal osteolysis	NA	8
0001530	Mild postnatal growth retardation	A mild degree of slow or limited growth after birth, being between two and three standard deviations below age- and sex-related norms.	5
0001544	Prominent umbilicus	Abnormally prominent umbilicus (belly button).	5
0001551	Abnormal umbilicus morphology	An abnormality of the structure or appearance of the umbilicus.	4
0001557	Prenatal movement abnormality	An abnormality of fetal movement.	3
0001560	Abnormality of the amniotic fluid	Abnormality of the amniotic fluid, which is the fluid contained in the amniotic sac surrounding the developing fetus.	3
0001563	Fetal polyuria	Abnormally increased production of urine by the fetus resulting in polyhydramnios.	4
0001571	Multiple impacted teeth	The presence of multiple impacted teeth.	12
0001574	Abnormality of the integument	An abnormality of the integument, which consists of the skin and the superficial fascia.	2
0001579	Primary hypercortisolism	Hypercortisolemia associated with a primary defect of the adrenal gland leading to overproduction of cortisol.	7
0001580	Pigmented micronodular adrenocortical disease	NA	6
0001583	Rotary nystagmus	A form of nystagmus in which the eyeball makes rotary motions around the axis.	7
0001586	Vesicovaginal fistula	The presence of a fistula connecting the urinary bladder to the vagina.	9
0001593	Maxillary lateral incisor microdontia	Decreased size of the maxillary permanent incisor.	11
0001637	Abnormal myocardium morphology	A structural anomaly of the muscle layer of the heart wall.	5
0001670	Asymmetric septal hypertrophy	Hypertrophic cardiomyopathy with an asymmetrical pattern of hypertrophy, with a predilection for the interventricular septum and myocyte disarray.	8
0001683	Ectopia cordis	Congenital malformation of the ventral wall with partial or total evisceration of the heart outside the thoracic cavity and through the defect in the ventral wall.	6
0001685	Myocardial fibrosis	Myocardial fibrosis is characterized by dysregulated collagen turnover (increased synthesis predominates over unchanged or decreased degradation) and excessive diffuse collagen accumulation in the interstitial and perivascular spaces as well as by phenotypically transformed fibroblasts, termed myofibroblasts.	6
0001686	Loss of voice	NA	3
0001691	Muscular subvalvular aortic stenosis	A type of subvalvular aortic stenosis resulting from thickening of the musculature of the interventricular septum, which results in obstruction to blood flow through the left-ventricular outflow tract.	9
0001692	Atrial arrhythmia	A type of supraventricular tachycardia in which the atria are the principal site of electrophysiologic disturbance.	7
0001693	Cardiac shunt	Pattern of blood flow in the heart that deviates from the normal circuit of the circulatory system.	5
0001694	Right-to-left shunt	Pattern of blood flow in the heart that deviates from the normal circuit of the circulatory system from the right side of the heart to the left.	6
0001697	Abnormal pericardium morphology	An abnormality of the pericardium, i.e., of the fluid filled sac that surrounds the heart and the proximal ends of the aorta, vena cava, and the pulmonary artery.	5
0001700	Myocardial necrosis	Irreversible damage to heart tissue (myocardium) due to lack of oxygen after a heart attack (myocardial infarction).	6
0001705	Right ventricular outlet tract obstruction	An obstruction to the forward flow of blood in the outflow tract of the right ventricle.	5
0001709	Third degree atrioventricular block	Third-degree atrioventricular (AV) block (also referred to as complete heart block) is the complete dissociation of the atria and the ventricles. Third-degree AV block exists when more P waves than QRS complexes exist and no relationship (no conduction) exists between them.	8
0001710	Conotruncal defect	A congenital malformation of the outflow tract of the heart. Conotruncal defects are thought to result from a disturbance of the outflow tract of the embryonic heart, and comprise truncus arteriosus, tetralogy of Fallot, interrupted aortic arch, transposition of the great arteries, and double outlet right ventricle.	7
0001711	Abnormal left ventricle morphology	Any structural abnormality of the left ventricle of the heart.	6
0001713	Abnormal cardiac ventricle morphology	An abnormality of a cardiac ventricle.	5
0001717	Coronary artery calcification	An accumulation of calcium and phosphate in arteries with mineral deposits in the intimal or medial layer of the vessel wall in a coronary artery.	7
0001722	High-output congestive heart failure	A form of heart failure characterized by elevated cardiac output. This may be seen in patients with heart failure and hyperthyroidism, anemia, pregnancy, arteriovenous fistulae, and others.	5
0001727	Thromboembolic stroke	A cerebrovascular accident (stroke) that occurs because of thromboembolism.	5
0001735	Acute pancreatitis	A acute form of pancreatitis.	7
0001741	Phimosis	The male foreskin cannot be fully retracted from the head of the penis.	9
0001742	Nasal obstruction	Reduced ability to pass air through the nasal cavity often leading to mouth breathing.	6
0001747	Accessory spleen	An accessory spleen is a round, iso-echogenic, homogenic and smooth structure and is seen as a normal variant mostly on the medial contour of the spleen, near the hilus or around the lower pole. This has no pathogenic relevance.	8
0001750	Single ventricle	The presence of only one working lower chamber in the heart, usually with a virtual absence of the ventricular septum and usually present in conjunction with double inlet left or right ventricle.	6
0001756	Vestibular hypofunction	Reduced functioning of the vestibular apparatus.	7
0001757	High-frequency sensorineural hearing impairment	A form of sensorineural hearing impairment that affects primarily the higher frequencies.	7
0001775	Tarsal osteovalgus	NA	9
0001780	Abnormality of toe	An anomaly of a toe.	7
0001782	Bulbous tips of toes	An abnormality of the morphology of the toes, such that the tips of the toes are prominent and bulbous.	8
0001783	Broad metatarsal	Increased side-to-side width of a metatarsal bone.	8
0001785	Ankle swelling	NA	7
0001786	Narrow foot	A foot for which the measured width is below the 5th centile for age; or, a foot that appears disproportionately narrow for its length.	5
0001787	Abnormal delivery	An abnormality of the birth process.	3
0001788	Premature rupture of membranes	Premature rupture of membranes (PROM) is a condition which occurs in pregnancy when the amniotic sac ruptures more than an hour before the onset of labor.	4
0001791	Fetal ascites	Accumulation of fluid in the peritoneal cavity during the fetal period.	5
0001809	Split nail	A nail plate that has a longitudinal separation and the two sections of the nail share the same lateral radius of curvature.	6
0001814	Deep-set nails	Deeply placed nails.	6
0001818	Paronychia	The nail disease paronychia is an often-tender bacterial or fungal hand infection or foot infection where the nail and skin meet at the side or the base of a finger or toenail. The infection can start suddenly (acute paronychia) or gradually (chronic paronychia).	7
0001821	Broad nail	Increased width of nail.	6
0001832	Abnormal metatarsal morphology	Abnormalities of the metatarsal bones (i.e. of five tubular bones located between the tarsal bones of the hind- and mid-foot and the phalanges of the toes).	7
0001842	Foot acroosteolysis	NA	10
0001844	Abnormality of the hallux	This term applies for all abnormalities of the big toe, also called hallux.	8
0001850	Abnormality of the tarsal bones	An abnormality of the tarsus are the cluster of seven bones in the foot between the tibia and fibula and the metatarsus, including the calcaneus (heel) bone and the talus (ankle) bone.	7
0001853	Bifid distal phalanx of toe	NA	8
0001854	Podagra	Gout affecting the Metatarsophalangeal joint of big toe.	7
0001857	Short distal phalanx of toe	Short distance from the end of the toe to the most distal interphalangeal crease or distal interphalangeal joint flexion point, i.e., abnormally short distal phalanx of toe.	12
0001859	Distal foot symphalangism	NA	10
0001868	Autoamputation of foot	Spontaneous detachment of a foot from the body.	5
0001870	Acroosteolysis of distal phalanges (feet)	NA	11
0001872	Abnormal thrombocyte morphology	An abnormality of platelets.	3
0001877	Abnormal erythrocyte morphology	Any structural abnormality of erythrocytes (red-blood cells).	3
0001879	Abnormal eosinophil morphology	An abnormal count or structure of eosinophils.	8
0001881	Abnormal leukocyte morphology	An abnormality of leukocytes.	5
0001885	Short 2nd toe	Underdevelopment (hypoplasia) of the second toe.	11
0001886	Foot osteomyelitis	An infection of bone of the foot.	7
0001898	Increased red blood cell mass	The presence of an increased mass of red blood cells in the circulation.	5
0001899	Increased hematocrit	An elevation above the normal ratio of the volume of red blood cells to the total volume of blood.	5
0001900	Increased hemoglobin	NA	5
0001905	Congenital thrombocytopenia	Thrombocytopenia with congenital onset.	6
0001908	Hypoplastic anemia	Anemia with varying degrees of erythrocytic hypoplasia without leukopenia or thrombocytopenia.	6
0001911	Abnormal granulocyte morphology	Any structural abnormality or abnormal count of granulocytes.	7
0001912	Abnormal basophil morphology	Any structural abnormality or abnormal count of basophils.	8
0001913	Granulocytopenia	An abnormally reduced number of granulocytes in the blood.	9
0001917	Renal amyloidosis	A form of amyloidosis that affects the kidney.	7
0001920	Renal artery stenosis	The presence of stenosis of the renal artery.	8
0001929	Reduced factor XI activity	Decreased activity of coagulation factor XI. Factor XI, also known as plasma thromboplastin antecedent, is a serine proteinase that activates factor IX.	6
0001930	Nonspherocytic hemolytic anemia	NA	7
0001948	Alkalosis	Depletion of acid or accumulation base in the body fluids.	5
0001949	Hypokalemic alkalosis	NA	6
0001950	Respiratory alkalosis	Alkalosis due to excess loss of carbon dioxide from the body.	6
0001951	Episodic ammonia intoxication	NA	5
0001953	Diabetic ketoacidosis	A type of diabetic metabolic abnormality with an accumulation of ketone bodies.	7
0001955	Unexplained fevers	Episodes of fever for which no infectious cause can be identified.	6
0001958	Nonketotic hypoglycemia	NA	7
0001960	Hypokalemic metabolic alkalosis	NA	7
0001961	Hypoplastic heart	NA	5
0001963	Abnormal speech discrimination	A type of hearing impairment prominently characterized by a difficulty in understanding speech, rather than an inability to hear speech. Poor speech discrimination is a very common symptom of high frequency hearing loss.	5
0001964	Aplasia/Hypoplasia of metatarsal bones	Absence or underdevelopment of the metatarsal bones.	9
0001965	Abnormality of the scalp	Any anomaly of the scalp, the skin an subcutaneous tissue of the head on which head hair grows.	4
0001966	Mesangial abnormality	An abnormality of the mesangium, i.e., of the central part of the renal glomerulus between capillaries.	10
0001969	Tubulointerstitial abnormality	An abnormality that involves the tubules and interstitial tissue of the kidney.	9
0001975	Decreased platelet glycoprotein IIb-IIIa	Decreased cell membrane concentration of glycoprotein IIb-IIIa.	6
0001977	Abnormal thrombosis	Venous or arterial thrombosis (formation of blood clots) of spontaneous nature and which cannot be fully explained by acquired risk (e.g. atherosclerosis).	3
0001978	Extramedullary hematopoiesis	The process of hematopoiesis occurring outside of the bone marrow (in the liver, thymus, and spleen) in the postnatal organisms.	3
0001980	Megaloblastic bone marrow	Abnormal increased number of megaloblasts in the bone marrow.	5
0001981	Schistocytosis	The presence of an abnormal number of fragmented red blood cells (schistocytes) in the blood.	5
0001982	Sea-blue histiocytosis	An abnormality of histiocytes, in which the cells take on a sea blue appearance due to abnormally increased lipid content. Histiocytes are a type of macrophage. Sea-blue histiocytes are typically large macrophages from 20 to 60 micrometers in diameter with a single eccentric nucleus whose cytoplasm if packed with sea-blue or blue-green granules when stained with Wright-Giemsa.	8
0001983	Reduced lymphocyte surface expression of CD43	A reduction in the expression of CD43 on the cell surface of lymphocytes.	5
0001986	Hypertonic dehydration	NA	6
0001991	Aplasia/Hypoplasia of toe	Absence or hypoplasia of toes.	9
0001995	Hyperchloremic acidosis	NA	6
0001996	Chronic metabolic acidosis	Longstanding metabolic acidosis.	7
0002009	Potter facies	A facial appearance characteristic of a fetus or neonate due to oligohydramnios experienced in the womb, comprising ocular hypertelorism, low-set ears, receding chin, and flattening of the nose.	7
0002010	Narrow maxilla	NA	9
0002011	Morphological abnormality of the central nervous system	A structural abnormality of the central nervous system.	4
0002012	Abnormality of the abdominal organs	An abnormality of the viscera of the abdomen.	3
0002031	Abnormal esophagus morphology	A structural abnormality of the esophagus.	5
0002034	Abnormality of the rectum	An abnormaltiy of the rectum, the final segment of the large intestine that stores solid waste until it passes through the anus.	7
0002038	Protein avoidance	NA	5
0002041	Intractable diarrhea	NA	6
0002048	Renal cortical atrophy	Atrophy of the cortex of the kidney.	8
0002049	Proximal renal tubular acidosis	A type of renal tubular acidosis characterized by a failure of the proximal tubular cells to reabsorb bicarbonate, leading to urinary bicarbonate wasting and subsequent acidemia.	9
0002050	Macroorchidism, postpubertal	NA	10
0002054	Heavy supraorbital ridges	NA	8
0002055	Curved linear dimple below the lower lip	NA	10
0002056	Abnormality of the glabella	An abnormality of the glabella.	6
0002060	Abnormality of the cerebrum	An abnormality of the telencephalon, which is also known as the cerebrum.	7
0002068	Neuromuscular dysphagia	NA	7
0002074	Increased neuronal autofluorescent lipopigment	Lipofuscin, a generic term applied to autofluorescent lipopigment, is a mixture of protein and lipid that accumulates in most aging cells, particularly those involved in high lipid turnover (e.g., the adrenal medulla) or phagocytosis of other cell types (e g., the retinal pigment epithelium or RPE; macrophage). This term pertains if there is an increase in the neuronal accumulation of lipofuscin (also known as autofluorescent lipoprotein) more than expected for the age of the patient.	7
0002083	Migraine without aura	Repeated headache attacks lasting 4-72 h fulfilling at least two of the following criteria: 1) unilateral location, 2) pulsating quality, 3) moderate or severe pain intensity, and 4) aggravation by or causing avoidance of routine physical activity such as climbing stairs. Headache attacks are commonly accompanied by nausea, vomiting, photophobia, or phonophobia.	6
0002087	Abnormality of the upper respiratory tract	An abnormality of the upper respiratory tract.	4
0002088	Abnormal lung morphology	Any structural anomaly of the lung.	4
0002108	Spontaneous pneumothorax	Pneumothorax occurring without traumatic injury to the chest or lung.	6
0002143	Abnormality of the spinal cord	An abnormality of the spinal cord (myelon).	5
0002152	Hyperproteinemia	An increased concentration of proteins in the blood.	5
0002154	Hyperglycinemia	An elevated concentration of glycine in the blood.	8
0002156	Homocystinuria	An increased concentration of homocystine in the urine.	8
0002157	Azotemia	An increased concentration of nitrogen compounds in the blood.	5
0002159	Heparan sulfate excretion in urine	An increased concentration of heparan sulfates in the urine.	8
0002160	Hyperhomocystinemia	An increased concentration of homocystine in the blood.	8
0002161	Hyperlysinemia	An increased concentration of lysine in the blood.	8
0002165	Pterygium of nails	Inward advance of skin over the nail plate.	5
0002189	Excessive daytime sleepiness	NA	6
0002190	Choroid plexus cyst	A cyst occurring within the choroid plexus within a cerebral ventricle.	8
0002193	Pseudobulbar behavioral symptoms	Individuals with Pseudobulbar signs often also demonstrate abnormal behavioral symptoms such as inappropriate emotional outbursts of uncontrolled laughter or weeping etc.	5
0002195	Dysgenesis of the cerebellar vermis	Defective development of the vermis of cerebellum.	11
0002196	Myelopathy	NA	6
0002200	Pseudobulbar signs	Pseudobulbar signs result from injury to an upper motor neuron lesion to the corticobulbar pathways in the pyramidal tract. Patients have difficulty chewing, swallowing and demonstrate slurred speech (often initial presentation) as well as abnormal behavioral symptoms such as inappropriate emotional outbursts of uncontrolled laughter or weeping etc.	4
0002203	Respiratory paralysis	Inability to move the muscles of respiration.	6
0002207	Diffuse reticular or finely nodular infiltrations	NA	6
0002218	Silver-gray hair	Hypopigmented hair that appears silver-gray.	8
0002219	Facial hypertrichosis	Excessive, increased hair growth located in the facial region.	7
0002220	Melanin pigment aggregation in hair shafts	NA	6
0002229	Alopecia areata	Loss of round patches of scalp hair.	7
0002232	Patchy alopecia	NA	7
