id	synonym	type
0002010	Decreased width of upper jaw bones	EXACT
0002010	Narrow upper jaw bones	EXACT
0002010	Transverse hypoplasia of maxilla	EXACT
0002010	Transverse maxillary deficiency	EXACT
0002010	Transverse maxillary insufficiency	EXACT
0002011	Abnormality of the central nervous system	EXACT
0002011	Central nervous system disease	RELATED
0002011	Morphological abnormality of the CNS	EXACT
0002012	Abnormality of the abdominal organs	EXACT
0002012	Gastrointestinal tract defects	EXACT
0002031	Abnormality of esophagus morphology	EXACT
0002031	Anomaly of the esophagus	EXACT
0002034	Abnormality of the rectum	EXACT
0002034	Anomaly of the rectum	EXACT
0002049	Proximal tubular acidosis	EXACT
0002049	Renal tubular acidosis, proximal	EXACT
0002049	Renal tubular acidosis, type II	EXACT
0002054	Heavy brow of the face	EXACT
0002054	Heavy supraorbital ridge	EXACT
0002056	Abnormality of the area between the eyebrows	EXACT
0002056	Deformity of the area between the eyebrows	NARROW
0002056	Glabellar abnormality	EXACT
0002056	Malformation of the area between the eyebrows	NARROW
0002060	Abnormality of the telencephalon	EXACT
0002074	Neuronal lipopigments	RELATED
0002087	Abnormality of the upper respiratory tract	EXACT
0002087	Upper respiratory tract issues	EXACT
0002088	Abnormality of lung morphology	EXACT
0002088	Abnormality of the lungs	EXACT
0002088	Abnormally shaped lung	EXACT
0002088	Lung disease	RELATED
0002088	Unusal lung shape	EXACT
0002108	Spontaneous collapsed lung	EXACT
0002143	Abnormality of the spinal cord	EXACT
0002143	Spinal cord disease	RELATED
0002143	Spinal cord pathology	RELATED
0002154	Elevated blood glycine levels	EXACT
0002154	Hyperglycinaemia	EXACT
0002156	High urine homocystine levels	EXACT
0002157	Azotaemia	EXACT
0002160	Elevated blood homocystine	EXACT
0002160	Homocystinemia	EXACT
0002161	Elevated blood lysine	EXACT
0002165	Nail pterygium	EXACT
0002189	Excessive daytime sleepiness	EXACT
0002200	Pseudobulbar symptoms	EXACT
0002218	Silver-gray hair	EXACT
0002218	Silver-gray hair color	EXACT
0002218	Silvery-gray hair	EXACT
0002219	Increased facial hair growth	EXACT
0002229	Patchy baldness	EXACT
